Lenovo Yoga Slim 7 14ARE05 82A20088MX,'14,0',AMD Ryzen 5 4500U,5699.00,820.36,2502.22,2.28,https://www.pricerunner.dk/pl/27-5276499/Baerbar/Lenovo-Yoga-Slim-7-14ARE05-82A20088MX-Sammenlign-Priser
Lenovo Yoga Slim 7 Pro-14 82MS000KMX,'18,0',AMD Ryzen 7 5800H,7970.00,1296.76,5202.70,1.53,https://www.pricerunner.dk/pl/27-3200098014/Baerbar/Lenovo-Yoga-Slim-7-Pro-14-82MS000KMX-Sammenlign-Priser
Lenovo Yoga Slim 7 Pro-14 82MS000GMX,'15,8',AMD Ryzen 7 5800H ,7699.00,1296.76,5202.70,1.48,https://www.pricerunner.dk/pl/27-3200185451/Baerbar/Lenovo-Yoga-Slim-7-Pro-14-82MS000GMX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A2007PMX,'17,5',AMD Ryzen 7 4700U,7992.00,992.72,3894.23,2.05,https://www.pricerunner.dk/pl/27-5233727/Baerbar/Lenovo-Yoga-Slim-7-14-82A2007PMX-Sammenlign-Priser
Lenovo Yoga Slim 7 Pro-14 82MS000JMX,'18,0',AMD Ryzen 5 5600H,6699.00,1272.56,4351.28,1.54,https://www.pricerunner.dk/pl/27-3200101094/Baerbar/Lenovo-Yoga-Slim-7-Pro-14-82MS000JMX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ALC05 82HU004CMX,'12,0',AMD Ryzen 5 5500U ,5499.00,915.72,3492.12,1.57,https://www.pricerunner.dk/pl/27-3200145184/Baerbar/Lenovo-IdeaPad-Flex-5-14ALC05-82HU004CMX-Sammenlign-Priser
Lenovo Yoga Slim 7 Pro-14 82FX002RMX,'21,4',Intel Core i5 1135G7,6999.00,1252.32,3299.76,2.12,https://www.pricerunner.dk/pl/27-3200082220/Baerbar/Lenovo-Yoga-Slim-7-Pro-14-82FX002RMX-Sammenlign-Priser
Lenovo ThinkBook 14 20VF000BMX,'7,5',AMD Ryzen 7 4700U,6173.00,992.72,3894.23,1.59,https://www.pricerunner.dk/pl/27-5305374/Baerbar/Lenovo-ThinkBook-14-20VF000BMX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A2008MMX,'17,5',AMD Ryzen 7 4700U,7399.00,992.72,3894.23,1.90,https://www.pricerunner.dk/pl/27-5233713/Baerbar/Lenovo-Yoga-Slim-7-14-82A2008MMX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 81X20044MX,'12,0',AMD Ryzen 7 4700U,5495.00,992.72,3894.23,1.41,https://www.pricerunner.dk/pl/27-5215148/Baerbar/Lenovo-IdeaPad-Flex-5-81X20044MX-Sammenlign-Priser
Lenovo IdeaPad 5 Pro 14ACN6 82L7001BMX,'10,0',AMD Ryzen 7 5800U,6499.00,1382.68,5520.52,1.18,https://www.pricerunner.dk/pl/27-3200152505/Baerbar/Lenovo-IdeaPad-5-Pro-14ACN6-82L7001BMX-Sammenlign-Priser
Lenovo ThinkBook 13s G2 ITL (20V90004MX),'16,0',Intel Core i7 1165G7 ,6695.00,1290.88,3408.67,1.96,https://www.pricerunner.dk/pl/27-3200006866/Baerbar/Lenovo-ThinkBook-13s-G2-ITL-%2820V90004MX%29-Sammenlign-Priser
HP Envy x360 13-AY0802no,'11,0',AMD Ryzen 7 4700U,8555.00,992.72,3894.23,2.20,https://www.pricerunner.dk/pl/27-5258002/Baerbar/HP-Envy-x360-13-AY0802no-Sammenlign-Priser
Lenovo ThinkBook 14 G3 ACL 21A20005MX,'7,5',AMD Ryzen 7 5700U,8138.00,1002.28,4366.81,1.86,https://www.pricerunner.dk/pl/27-3200197295/Baerbar/Lenovo-ThinkBook-14-G3-ACL-21A20005MX-Sammenlign-Priser
Lenovo IdeaPad 5 14ALC05 82LM000GMX,'8,3',AMD Ryzen 7 5700U,5999.00,1002.28,4366.81,1.37,https://www.pricerunner.dk/pl/27-3200169786/Baerbar/Lenovo-IdeaPad-5-14ALC05-82LM000GMX-Sammenlign-Priser
Lenovo Yoga Slim 7 14ITL05 82A3 (82A30040MX),'15,0',Intel Core i5 1135G7,6299.00,1252.32,3299.76,1.91,https://www.pricerunner.dk/pl/27-3200055267/Baerbar/Lenovo-Yoga-Slim-7-14ITL05-82A3-%2882A30040MX%29-Sammenlign-Priser
Lenovo ThinkBook 13s G3 20YA0009MX,'12,3',AMD Ryzen 7 5800U,8148.00,1382.68,5520.52,1.48,https://www.pricerunner.dk/pl/27-3200181000/Baerbar/Lenovo-ThinkBook-13s-G3-20YA0009MX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ALC05 82HU003NMX,'12,0',AMD Ryzen 7 5700U ,6370.00,1002.28,4366.81,1.46,https://www.pricerunner.dk/pl/27-3200145761/Baerbar/Lenovo-IdeaPad-Flex-5-14ALC05-82HU003NMX-Sammenlign-Priser
Lenovo IdeaPad 5-14 81YM00BKMX,'12,0',AMD Ryzen 7 4700U,5844.00,992.72,3894.23,1.50,https://www.pricerunner.dk/pl/27-5255140/Baerbar/Lenovo-IdeaPad-5-14-81YM00BKMX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 82HS0079MX,'11,0',Intel Core i7 1165G7,8499.00,1290.88,3408.67,2.49,https://www.pricerunner.dk/pl/27-3200051269/Baerbar/Lenovo-IdeaPad-Flex-5-82HS0079MX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ALC05 82HU003MMX,'12,0',AMD Ryzen 5 5500U ,5470.00,915.72,3492.12,1.57,https://www.pricerunner.dk/pl/27-3200145466/Baerbar/Lenovo-IdeaPad-Flex-5-14ALC05-82HU003MMX-Sammenlign-Priser
Lenovo Yoga 7i 14 82BH0077MX,'13,0',Intel Core i5 1135G7 ,8624.00,1252.32,3299.76,2.61,https://www.pricerunner.dk/pl/27-3200160696/Baerbar/Lenovo-Yoga-7i-14-82BH0077MX-Sammenlign-Priser
Lenovo ThinkPad E14 Gen 3 20Y70049MX,'15,8',AMD Ryzen 7 5700U,7308.00,1002.28,4366.81,1.67,https://www.pricerunner.dk/pl/27-3200198353/Baerbar/Lenovo-ThinkPad-E14-Gen-3-20Y70049MX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 82HS0074MX,'10,0',Intel Core i5 1135G7,5499.00,1252.32,3299.76,1.67,https://www.pricerunner.dk/pl/27-3200051357/Baerbar/Lenovo-IdeaPad-Flex-5-82HS0074MX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A2008NMX,'17,5',AMD Ryzen 7 4700U,6799.00,992.72,3894.23,1.75,https://www.pricerunner.dk/pl/27-5233695/Baerbar/Lenovo-Yoga-Slim-7-14-82A2008NMX-Sammenlign-Priser
Lenovo Yoga C740 81TC0018MX,'13,0',Intel Core i7 10510U,7187.00,971.24,2477.90,2.90,https://www.pricerunner.dk/pl/27-5066807/Baerbar/Lenovo-Yoga-C740-81TC0018MX-Sammenlign-Priser
Lenovo IdeaPad 3-14 82H70092MX,'7,5',Intel Core i5 1135G7,6499.00,1252.32,3299.76,1.97,https://www.pricerunner.dk/pl/27-3200142187/Baerbar/Lenovo-IdeaPad-3-14-82H70092MX-Sammenlign-Priser
Lenovo Yoga Slim 7 14ARE05 82A200DVMX,'17,5',AMD Ryzen 7 4700U,6999.00,992.72,3894.23,1.80,https://www.pricerunner.dk/pl/27-3200179797/Baerbar/Lenovo-Yoga-Slim-7-14ARE05-82A200DVMX-Sammenlign-Priser
Lenovo ThinkBook 14s Yoga 20WE0021MX,'8,4',Intel Core i5 1135G7,8289.00,1252.32,3299.76,2.51,https://www.pricerunner.dk/pl/27-3200023466/Baerbar/Lenovo-ThinkBook-14s-Yoga-20WE0021MX-Sammenlign-Priser
Lenovo ThinkPad E14 Gen 2 (20T7S1V305),'13,0',AMD Ryzen 7 4800U,6995.00,941.80,4246.00,1.65,https://www.pricerunner.dk/pl/27-3200029830/Baerbar/Lenovo-ThinkPad-E14-Gen-2-%2820T7S1V305%29-Sammenlign-Priser
Lenovo Yoga Slim 7 14ITL05 82A3002YMX,'15,0',Intel Core i7 1165G7,7999.00,1290.88,3408.67,2.35,https://www.pricerunner.dk/pl/27-3200174796/Baerbar/Lenovo-Yoga-Slim-7-14ITL05-82A3002YMX-Sammenlign-Priser
Lenovo Yoga Slim 7 Pro 14IHU5 (82NC000TMX),'18,8',Intel Core i5 11300H,7499.00,1260.48,3307.77,2.27,https://www.pricerunner.dk/pl/27-3200237672/Baerbar/Lenovo-Yoga-Slim-7-Pro-14IHU5-%2882NC000TMX%29-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ARE05 81X2008FMX,'12,0',AMD Ryzen 7 4700U,6257.00,992.72,3894.23,1.61,https://www.pricerunner.dk/pl/27-3200117131/Baerbar/Lenovo-IdeaPad-Flex-5-14ARE05-81X2008FMX-Sammenlign-Priser
Lenovo ThinkPad E14 G2 (20TA0059MX),'11,9',Intel Core i7 1165G7,7995.00,1290.88,3408.67,2.35,https://www.pricerunner.dk/pl/27-3200024174/Baerbar/Lenovo-ThinkPad-E14-G2-%2820TA0059MX%29-Sammenlign-Priser
Lenovo ThinkPad X395 20NMS3A006,'14,5',AMD Ryzen 7 Pro 3700U,7495.00,702.44,2147.51,3.49,https://www.pricerunner.dk/pl/27-3200165532/Baerbar/Lenovo-ThinkPad-X395-20NMS3A006-Sammenlign-Priser
Lenovo Yoga S940-14 81Q8000QMX,'16,0',Intel Core i7 1065G7,8999.00,1107.36,3084.78,2.92,https://www.pricerunner.dk/pl/27-5086139/Baerbar/Lenovo-Yoga-S940-14-81Q8000QMX-Sammenlign-Priser
Lenovo Yoga Slim 7 14ARE05 82A200AVMX,'17,5',AMD Ryzen 7 4800U ,8619.00,941.80,4246.00,2.03,https://www.pricerunner.dk/pl/27-3200212710/Baerbar/Lenovo-Yoga-Slim-7-14ARE05-82A200AVMX-Sammenlign-Priser
Lenovo ThinkBook 14 20VD008NMX,'6,0',Intel Core i5 1135G7,6195.00,1252.32,3299.76,1.88,https://www.pricerunner.dk/pl/27-3200236736/Baerbar/Lenovo-ThinkBook-14-20VD008NMX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A20036MX,'17,5',AMD Ryzen 5 4500U,5999.00,820.36,2502.22,2.40,https://www.pricerunner.dk/pl/27-5235788/Baerbar/Lenovo-Yoga-Slim-7-14-82A20036MX-Sammenlign-Priser
Lenovo ThinkPad E14 G2 20TA000DMX,'11,9',Intel Core i7 1165G7 ,8009.10,1290.88,3408.67,2.35,https://www.pricerunner.dk/pl/27-3200025141/Baerbar/Lenovo-ThinkPad-E14-G2-20TA000DMX-Sammenlign-Priser
Lenovo ThinkBook 13s 20RR0003MX,'11,0',Intel Core i7 10510U,6495.00,971.24,2477.90,2.62,https://www.pricerunner.dk/pl/27-5073603/Baerbar/Lenovo-ThinkBook-13s-20RR0003MX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A2005TGE,'17,5',AMD Ryzen 7 4700U,7066.00,992.72,3894.23,1.81,https://www.pricerunner.dk/pl/27-5269488/Baerbar/Lenovo-Yoga-Slim-7-14-82A2005TGE-Sammenlign-Priser
Lenovo ThinkPad L14 Gen 2 20X50038MX,'12,3',AMD Ryzen 7 Pro 5850U ,8184.00,1211.56,4705.33,1.74,https://www.pricerunner.dk/pl/27-3200215105/Baerbar/Lenovo-ThinkPad-L14-Gen-2-20X50038MX-Sammenlign-Priser
Lenovo IdeaPad 3 14ITL6 82H700BHGE,'5,5',Intel Core i7 1135G7 ,5154.00,1.00,1.00,5154.00,https://www.pricerunner.dk/pl/27-3200244718/Baerbar/Lenovo-IdeaPad-3-14ITL6-82H700BHGE-Sammenlign-Priser
