Lenovo Yoga Slim 7 Pro-14 82MS000KMX,14" AMD Ryzen 7, 3.2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5800H,7970.00,1296.76,5202.70,1.53,https://www.pricerunner.dk/pl/27-3200098014/Baerbar/Lenovo-Yoga-Slim-7-Pro-14-82MS000KMX-Sammenlign-Priser
Lenovo Yoga Slim 7 Pro-14 82MS000GMX,14" AMD Ryzen 7, 3.2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5800H ,7699.00,1296.76,5202.70,1.48,https://www.pricerunner.dk/pl/27-3200185451/Baerbar/Lenovo-Yoga-Slim-7-Pro-14-82MS000GMX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A2007PMX,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,7992.00,992.72,3894.23,2.05,https://www.pricerunner.dk/pl/27-5233727/Baerbar/Lenovo-Yoga-Slim-7-14-82A2007PMX-Sammenlign-Priser
Lenovo ThinkBook 14 20VF000BMX,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,6173.00,992.72,3894.23,1.59,https://www.pricerunner.dk/pl/27-5305374/Baerbar/Lenovo-ThinkBook-14-20VF000BMX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A2008MMX,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,7399.00,992.72,3894.23,1.90,https://www.pricerunner.dk/pl/27-5233713/Baerbar/Lenovo-Yoga-Slim-7-14-82A2008MMX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 81X20044MX,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,5495.00,992.72,3894.23,1.41,https://www.pricerunner.dk/pl/27-5215148/Baerbar/Lenovo-IdeaPad-Flex-5-81X20044MX-Sammenlign-Priser
Lenovo IdeaPad 5 Pro 14ACN6 82L7001BMX,14" AMD Ryzen 7, 1.9 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5800U,6499.00,1382.68,5520.52,1.18,https://www.pricerunner.dk/pl/27-3200152505/Baerbar/Lenovo-IdeaPad-5-Pro-14ACN6-82L7001BMX-Sammenlign-Priser
HP Envy x360 13-AY0802no,13.3" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,8555.00,992.72,3894.23,2.20,https://www.pricerunner.dk/pl/27-5258002/Baerbar/HP-Envy-x360-13-AY0802no-Sammenlign-Priser
Lenovo ThinkBook 14 G3 ACL 21A20005MX,14" AMD Ryzen 7, 1.8 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5700U,8138.00,1002.28,4366.81,1.86,https://www.pricerunner.dk/pl/27-3200197295/Baerbar/Lenovo-ThinkBook-14-G3-ACL-21A20005MX-Sammenlign-Priser
Lenovo IdeaPad 5 14ALC05 82LM000GMX,14" AMD Ryzen 7, 1.8 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5700U,5999.00,1002.28,4366.81,1.37,https://www.pricerunner.dk/pl/27-3200169786/Baerbar/Lenovo-IdeaPad-5-14ALC05-82LM000GMX-Sammenlign-Priser
